,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb,link
29,Anaconda,Luis Llosa,1997,9,2.0,No,4.6,https://wheresthejump.com/jump-scares-in-anaconda-1997/
30,Anna,Jorge Dorado,2013,5,1.0,No,6.5,https://wheresthejump.com/jump-scares-in-anna-2013/
31,Annabelle,John R. Leonetti,2014,11,3.5,No,5.4,https://wheresthejump.com/jump-scares-in-annabelle-2014/
32,Annabelle Comes Home,Gary Dauberman,2019,20,4.0,No,6.0,https://wheresthejump.com/jump-scares-in-annabelle-comes-home-2019/
33,Annabelle: Creation,David F. Sandberg,2017,23,4.5,No,6.8,https://wheresthejump.com/jump-scares-in-annabelle-creation-2017/
34,Annihilation,Alex Garland,2018,4,1.5,Yes,7.8,https://wheresthejump.com/jump-scares-in-annihilation-2018/
35,Apollo 18,Gonzalo López-Gallego,2011,10,3.0,No,5.2,https://wheresthejump.com/jump-scares-in-apollo-18-2011/
36,Apostle,Gareth Evans,2018,5,1.5,Yes,6.6,https://wheresthejump.com/jump-scares-in-apostle-2018/
37,Army of Darkness,Sam Raimi,1992,9,2.0,No,7.6,https://wheresthejump.com/jump-scares-in-army-of-darkness-1992/
38,Arrival,Denis Villeneuve,2016,3,0.5,No,7.3,https://wheresthejump.com/jump-scares-in-arrival-2016/
39,"As Above, So Below",John Erick Dowdle,2014,7,3.0,Yes,6.1,https://wheresthejump.com/jump-scares-in-as-above-so-below-2014/
40,Attack the Block,Joe Cornish,2011,12,3.0,No,6.6,https://wheresthejump.com/jump-scares-in-attack-the-block-2011/
41,Audition,Takashi Miike,1999,1,0.5,No,7.2,https://wheresthejump.com/jump-scares-in-audition-1999/
42,Backcountry,Adam MacDonald,2014,4,0.5,Yes,6.0,https://wheresthejump.com/jump-scares-in-backcountry-2014/
43,Backtrack,Michael Petroni,2015,14,3.5,No,5.9,https://wheresthejump.com/jump-scares-in-backtrack-2015/
44,Banshee Chapter,Blair Erickson,2013,22,5.0,No,5.5,https://wheresthejump.com/jump-scares-in-banshee-chapter-2013/
45,Before I Wake,Mike Flanagan,2016,9,3.0,Yes,6.1,https://wheresthejump.com/jump-scares-in-before-i-wake-2016/
46,Berberian Sound Studio,Peter Strickland,2012,0,0.0,No,6.2,https://wheresthejump.com/jump-scares-in-berberian-sound-studio-2012/
47,Berlin Syndrome,Cate Shortland,2017,1,0.5,No,6.3,https://wheresthejump.com/jump-scares-in-berlin-syndrome-2017/
48,Better Watch Out,Chris Peckover,2016,11,2.5,No,6.9,https://wheresthejump.com/jump-scares-in-better-watch-out-2016/
49,Bird Box,Susanne Bier,2018,4,0.5,Yes,6.8,https://wheresthejump.com/jump-scares-in-bird-box-2018/
50,Black Christmas,Bob Clark,1974,4,1.5,No,7.2,https://wheresthejump.com/jump-scares-in-black-christmas-1974/
51,Black Swan,Darren Aronofsky,2010,10,3.0,No,8.0,https://wheresthejump.com/jump-scares-in-black-swan-2010/
52,Blade,Stephen Norrington,1998,1,1.0,No,7.1,https://wheresthejump.com/jump-scares-in-blade-1998/
53,Blair Witch,Adam Wingard,2016,18,4.0,No,5.0,https://wheresthejump.com/jump-scares-in-blair-witch-2016/
54,Bone Tomahawk,S. Craig Zahler,2015,0,0.0,No,7.1,https://wheresthejump.com/jump-scares-in-bone-tomahawk-2015/
55,Bram Stoker's Dracula,Francis Ford Coppola,1992,1,0.5,No,7.5,https://wheresthejump.com/jump-scares-in-bram-stokers-dracula-1992/
56,Bride of Chucky,Ronny Yu,1998,11,2.0,No,5.3,https://wheresthejump.com/jump-scares-in-bride-of-chucky-1998/
57,Cabin Fever,Eli Roth,2002,10,2.5,No,5.6,https://wheresthejump.com/jump-scares-in-cabin-fever-2002/
58,Cam,Daniel Goldhaber,2018,1,0.5,Yes,6.0,https://wheresthejump.com/jump-scares-in-cam-2018/
59,Candyman,Bernard Rose,1992,16,4.0,No,6.6,https://wheresthejump.com/jump-scares-in-candyman-1992/
60,Cape Fear,Martin Scorsese,1991,4,1.5,No,7.3,https://wheresthejump.com/jump-scares-in-cape-fear-1991/
61,Cargo,"Ben Howling, Yolanda Ramke",2017,2,0.5,Yes,6.8,https://wheresthejump.com/jump-scares-in-cargo-2017/
62,Carrie,Brian De Palma,1976,1,0.5,No,7.4,https://wheresthejump.com/jump-scares-in-carrie-1976/
63,Carrie,Kimberly Peirce,2013,4,1.0,No,5.9,https://wheresthejump.com/jump-scares-in-carrie-2013/
64,Case 39,Christian Alvart,2009,9,2.0,No,6.2,https://wheresthejump.com/jump-scares-in-case-39-2009/
65,Cat People,Jacques Tourneur,1942,2,1.0,No,7.4,https://wheresthejump.com/jump-scares-in-cat-people-1942/
66,Cell,Tod Williams,2016,5,2.0,No,4.3,https://wheresthejump.com/jump-scares-in-cell-2016/
67,Chernobyl Diaries,Bradley Parker,2012,16,3.5,Yes,5.0,https://wheresthejump.com/jump-scares-in-chernobyl-diaries-2012/
68,Children of the Corn,Fritz Kiersch,1984,8,3.0,No,5.6,https://wheresthejump.com/jump-scares-in-children-of-the-corn-1984/
69,Child's Play,Tom Holland,1988,8,2.5,No,6.5,https://wheresthejump.com/jump-scares-in-childs-play-1988/
70,Cloverfield,Matt Reeves,2008,7,2.0,No,7.0,https://wheresthejump.com/jump-scares-in-cloverfield-2008/
71,Clown,Jon Watts,2014,11,3.0,No,5.6,https://wheresthejump.com/jump-scares-in-clown-2014/
72,Cooties,"Jonathan Milott, Cary Murnion",2014,15,3.0,No,5.8,https://wheresthejump.com/jump-scares-in-cooties-2014/
73,Creep,Patrick Kack-Brice,2014,10,3.0,Yes,6.2,https://wheresthejump.com/jump-scares-in-creep-2014/
74,Creep 2,Patrick Brice,2017,6,2.0,Yes,6.3,https://wheresthejump.com/jump-scares-in-creep-ii-2017/
75,Crimson Peak,Guillermo del Toro,2015,9,2.5,No,6.6,https://wheresthejump.com/jump-scares-in-crimson-peak-2015/
76,Cube,Vincenzo Natali,1997,1,0.5,No,7.3,https://wheresthejump.com/jump-scares-in-cube-1997/
77,Cujo,Lewis Teague,1983,4,1.0,No,6.0,https://wheresthejump.com/jump-scares-in-cujo-1983/
78,Cult of Chucky,Don Mancini,2017,14,3.5,Yes,5.2,https://wheresthejump.com/jump-scares-in-cult-of-chucky-2017/
79,Cyberbully,Ben Chanan,2015,1,1.0,No,7.0,https://wheresthejump.com/jump-scares-in-cyberbully-2015/
80,Dark Shadows,Tim Burton,2012,2,0.5,No,6.2,https://wheresthejump.com/jump-scares-in-dark-shadows-2012/
81,Dark Skies,Scott Stewart,2013,11,2.5,No,6.3,https://wheresthejump.com/jump-scares-in-dark-skies-2013/
82,Dark Was The Night,Jack Heller,2014,16,3.0,No,5.6,https://wheresthejump.com/jump-scares-in-dark-was-the-night-2014/
83,Dark Water,Walter Salles,2005,7,2.0,No,5.5,https://wheresthejump.com/jump-scares-in-dark-water-2005/
84,Dawn of the Dead,Zack Synder,2004,10,2.0,No,7.4,https://wheresthejump.com/jump-scares-in-dawn-of-the-dead-2004/
85,Day of the Dead,George A. Romero,1985,10,3.0,No,7.2,https://wheresthejump.com/jump-scares-in-day-of-the-dead-1985/
86,Dead Alive,Peter Jackson,1992,3,1.0,No,7.6,https://wheresthejump.com/jump-scares-in-dead-alive-1992/
87,Dead Calm,Phillip Noyce,1989,2,1.0,No,6.8,https://wheresthejump.com/jump-scares-in-dead-calm-1989/
88,Dead End,"Jean-Baptiste Andrea, Fabrice Canepa",2003,9,2.5,No,6.7,https://wheresthejump.com/jump-scares-in-dead-end-2003/
89,Dead Silence,James Wan,2007,15,4.0,No,6.2,https://wheresthejump.com/jump-scares-in-dead-silence-2007/
90,Death Note,Adam Wingard,2017,6,1.5,Yes,4.6,https://wheresthejump.com/jump-scares-in-death-note-2017/
91,Deathgasm,Jason Lei Howden,2015,7,2.0,No,6.3,https://wheresthejump.com/jump-scares-in-deathgasm-2015/
92,Deep Blue Sea,Renny Harlin,1999,10,2.5,No,5.8,https://wheresthejump.com/jump-scares-in-deep-blue-sea-1999/
93,Deep Red,Dario Argento,1975,7,1.5,No,7.7,https://wheresthejump.com/jump-scares-in-deep-red-1975/
94,Deliver Us From Evil,Scott Derrickson,2014,16,4.0,No,6.2,https://wheresthejump.com/jump-scares-in-deliver-us-from-evil-2014/
95,Dementia,Mike Testin,2015,0,0.0,No,5.0,https://wheresthejump.com/jump-scares-in-dementia-2015/
96,Demonic,Will Canon,2015,17,4.0,Yes,5.3,https://wheresthejump.com/jump-scares-in-demonic-2015/
97,Devil,John Erick Dowdle,2010,4,1.5,No,6.3,https://wheresthejump.com/jump-scares-in-devil-2010/
98,Devil's Due,"Matt Bettinelli-Olpin, Tyler Gillett",2014,13,3.0,No,4.1,https://wheresthejump.com/jump-scares-in-devils-due-2014/
99,Devil's Pass,Renny Harlin,2013,10,2.5,No,5.7,https://wheresthejump.com/jump-scares-in-devils-pass-2013/
100,Dismissed,Benjamin Arfmann,2017,0,0.0,No,5.8,https://wheresthejump.com/jump-scares-in-dismissed-2017/
101,Disturbia,D.J. Caruso,2007,13,3.0,No,6.9,https://wheresthejump.com/jump-scares-in-disturbia-2007/
102,Dog Soldiers,Neil Marshall,2002,13,3.0,No,6.8,https://wheresthejump.com/jump-scares-in-dog-soldiers-2002/
103,Donnie Darko,Richard Kelly,2001,3,1.0,No,8.1,https://wheresthejump.com/jump-scares-in-donnie-darko-2001/
104,Don't Be Afraid of the Dark,Troy Nixey,2010,8,3.0,No,5.6,https://wheresthejump.com/jump-scares-in-dont-be-afraid-of-the-dark-2010/
105,Don't Breathe,Fede Alvarez,2016,17,3.5,No,7.2,https://wheresthejump.com/jump-scares-in-dont-breathe-2016/
106,Don't Knock Twice,Caradog W. James,2016,19,3.5,No,5.2,https://wheresthejump.com/jump-scares-in-dont-knock-twice-2016/
107,Doom,Andrzej Bartkowiak,2005,15,3.5,Yes,5.2,https://wheresthejump.com/jump-scares-in-doom-2005/
108,Dracula Untold,Gary Shore,2014,4,1.0,No,6.3,https://wheresthejump.com/jump-scares-in-dracula-untold-2014/
109,Drag Me To Hell,Sam Raimi,2009,23,4.5,No,6.6,https://wheresthejump.com/jump-scares-in-drag-me-to-hell-2009/
110,Dreamcatcher,Lawrence Kasdan,2003,11,3.0,No,5.5,https://wheresthejump.com/jump-scares-in-dreamcatcher-2003/
111,Eden Lake,James Watkins,2008,3,1.0,No,6.8,https://wheresthejump.com/jump-scares-in-eden-lake-2008/
112,Elle,Paul Verhoeven,2016,7,2.0,No,7.3,https://wheresthejump.com/jump-scares-in-elle-2016/
113,Emelie,Michael Thelin,2015,3,0.5,Yes,5.4,https://wheresthejump.com/jump-scares-in-emelie-2015/
114,Escape Room,Adam Robitel,2019,4,1.5,No,6.3,https://wheresthejump.com/jump-scares-in-escape-room-2019/
115,Europa Report,Sebastián Cordero,2013,1,0.5,No,6.5,https://wheresthejump.com/jump-scares-in-europa-report-2013/
116,Event Horizon,Paul W.S. Anderson,1997,11,3.0,No,6.7,https://wheresthejump.com/jump-scares-in-event-horizon-1997/
117,Evil Dead,Fede Alvarez,2013,20,4.0,No,6.5,https://wheresthejump.com/jump-scares-in-evil-dead-2013/
118,Evil Dead II,Sam Raimi,1987,27,4.0,No,7.8,https://wheresthejump.com/jump-scares-in-evil-dead-ii-1987/
119,Exorcist: The Beginning,Renny Harlin,2004,17,4.0,No,5.1,https://wheresthejump.com/jump-scares-in-exorcist-the-beginning-2004/
120,Extinction,Miguel Ángel Vivas,2015,12,3.0,No,5.8,https://wheresthejump.com/jump-scares-in-extinction-2015/
121,Extraterrestrial,Colin Minihan,2014,30,4.5,No,5.0,https://wheresthejump.com/jump-scares-in-extraterrestrial-2014/
122,Fear Clinic,Robert Hall,2014,13,3.0,No,5.6,https://wheresthejump.com/jump-scares-in-fear-clinic-2014/
123,Final Destination,James Wong,2000,4,2.0,Yes,6.7,https://wheresthejump.com/jump-scares-in-final-destination-2000/
124,Final Destination 2,David R. Ellis,2003,3,1.0,Yes,6.2,https://wheresthejump.com/jump-scares-in-final-destination-ii-2003/
125,Final Destination 3,James Wong,2006,5,1.0,Yes,5.8,https://wheresthejump.com/jump-scares-in-final-destination-iii-2006/
126,Final Destination 5,Steven Quale,2011,5,1.5,No,5.9,https://wheresthejump.com/jump-scares-in-final-destination-v-2011/
127,Flatliners,Joel Schumacher,1990,7,2.0,Yes,6.6,https://wheresthejump.com/jump-scares-in-flatliners-1990/
128,Flatliners,Niels Arden Oplev,2017,20,4.0,No,5.0,https://wheresthejump.com/jump-scares-in-flatliners-2017/
129,Frailty,Bill Paxton,2001,0,0.0,No,7.3,https://wheresthejump.com/jump-scares-in-frailty-2001/
130,Freddy vs. Jason,Ronny Yu,2003,24,4.0,No,5.8,https://wheresthejump.com/jump-scares-in-freddy-vs-jason-2003/
131,Friday the 13th,Sean S. Cunningham,1980,10,3.0,No,6.5,https://wheresthejump.com/jump-scares-in-friday-the-13th-1980/
132,Friday the 13th,Marcus Nispel,2009,23,4.0,No,5.6,https://wheresthejump.com/jump-scares-in-friday-the-13th-2009/
133,Friend Request,Simon Verhoeven,2016,21,4.0,Yes,5.4,https://wheresthejump.com/jump-scares-in-friend-request-2016/
134,Fright Night,Craig Gillespie,2011,10,3.0,No,6.4,https://wheresthejump.com/jump-scares-in-fright-night-2011/
135,Funny Games,Michael Haneke,1997,1,0.5,No,7.6,https://wheresthejump.com/jump-scares-in-funny-games-1997/
136,Funny Games,Michael Haneke,2007,1,0.5,No,6.5,https://wheresthejump.com/jump-scares-in-funny-games-2007/
137,Gerald's Game,Mike Flanagan,2017,3,0.5,Yes,7.1,https://wheresthejump.com/jump-scares-in-geralds-game-2017/
138,Get Out,Jordan Peele,2017,10,2.5,No,7.8,https://wheresthejump.com/jump-scares-in-get-out-2017/
139,Ghost Ship,Steve Beck,2002,12,3.0,Yes,5.5,https://wheresthejump.com/jump-scares-in-ghost-ship-2002/
140,Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,20,4.0,No,6.6,https://wheresthejump.com/jump-scares-in-ghost-stories-2017/
141,Ghostland,Pascal Laugier,2018,21,4.0,No,6.3,https://wheresthejump.com/jump-scares-in-ghostland-2018/
142,Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,1,0.5,No,6.7,https://wheresthejump.com/jump-scares-in-goodnight-mommy-2014/
143,Goosebumps,Rob Letterman,2015,10,2.5,No,6.4,https://wheresthejump.com/jump-scares-in-goosebumps-2015/
144,Gothika,Mathieu Kassovitz,2003,16,3.5,Yes,5.8,https://wheresthejump.com/jump-scares-in-gothika-2003/
145,Grave Encounters,"Colin Minihan, Stuart Ortiz",2011,12,4.0,No,6.1,https://wheresthejump.com/jump-scares-in-grave-encounters-2011/
146,Green Room,Jeremy Saulnier,2015,1,0.5,Yes,7.2,https://wheresthejump.com/jump-scares-in-green-room-2015/
147,Gremlins,Joe Dante,1984,17,3.5,No,7.2,https://wheresthejump.com/jump-scares-in-gremlins-1984/
148,Halloween,John Carpenter,1978,13,2.5,No,7.9,https://wheresthejump.com/jump-scares-in-halloween-1978/
149,Halloween,Rob Zombie,2007,9,3.0,No,6.1,https://wheresthejump.com/jump-scares-in-halloween-2007/
150,Halloween,David Gordon Green,2018,14,3.5,No,7.5,https://wheresthejump.com/jump-scares-in-halloween-2018/
151,Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,No,5.6,https://wheresthejump.com/jump-scares-in-halloween-h20-20-years-later-1998/
152,Halloween II,Rick Rosenthal,1981,8,2.0,No,6.5,https://wheresthejump.com/jump-scares-in-halloween-ii-1981/
153,Halloween II,Rob Zombie,2009,16,3.0,No,4.9,https://wheresthejump.com/jump-scares-in-halloween-ii-2009/
154,Hannibal,Ridley Scott,2001,2,0.5,No,6.8,https://wheresthejump.com/jump-scares-in-hannibal-2001/
155,Hannibal Rising,Peter Webber,2007,0,0.0,No,6.2,https://wheresthejump.com/jump-scares-in-hannibal-rising-2007/
156,Happy Death Day 2U,Christopher Landon,2019,7,2.0,No,6.5,https://wheresthejump.com/jump-scares-in-happy-death-day-2u-2019/
157,Happy Death Day,Christopher Landon,2017,8,2.5,No,6.7,https://wheresthejump.com/jump-scares-in-happy-death-day-2017/
158,Hellboy,Guillermo del Toro,2004,6,1.5,No,6.8,https://wheresthejump.com/jump-scares-in-hellboy-2004/
159,Hellraiser,Clive Barker,1987,5,2.0,No,7.1,https://wheresthejump.com/jump-scares-in-hellraiser-1987/
160,Here Alone,Rod Blackhurst,2016,2,0.5,Yes,5.6,https://wheresthejump.com/jump-scares-in-here-alone-2016/
161,Hereditary,Ari Aster,2018,8,2.0,No,8.1,https://wheresthejump.com/jump-scares-in-hereditary-2018/
162,Hidden,"Matt Duffer, Ross Duffer",2015,4,1.5,No,6.4,https://wheresthejump.com/jump-scares-in-hidden-2015/
163,Hide and Seek,John Polson,2005,16,3.5,No,5.9,https://wheresthejump.com/jump-scares-in-hide-and-seek-2005/
164,High Tension,Alexandre Aja,2003,8,2.5,No,6.9,https://wheresthejump.com/jump-scares-in-high-tension-2003/
165,Holidays,Various Directors,2016,5,2.0,Yes,5.1,https://wheresthejump.com/jump-scares-in-holidays-2016/
166,Hollow Man,Paul Verhoeven,2000,9,2.5,No,5.7,https://wheresthejump.com/jump-scares-in-hollow-man-2000/
167,Honeymoon,Leigh Janiak,2014,3,0.5,No,5.6,https://wheresthejump.com/jump-scares-in-honeymoon-2014/
168,Horns,Alexandre Aja,2013,3,0.5,No,6.5,https://wheresthejump.com/jump-scares-in-horns-2013/
169,Hostel,Eli Roth,2005,2,0.5,No,5.9,https://wheresthejump.com/jump-scares-in-hostel-2005/
170,Hounds of Love,Ben Young,2016,0,0.0,No,6.6,https://wheresthejump.com/jump-scares-in-hounds-of-love-2016/
171,Hour of the Wolf,Ingmar Bergman,1968,1,0.5,No,7.7,https://wheresthejump.com/jump-scares-in-hour-of-the-wolf-1968/
172,House,Steve Miner,1986,11,3.0,No,6.2,https://wheresthejump.com/jump-scares-in-house-1986/
173,House of 1000 Corpses,Rob Zombie,2003,6,2.5,No,6.0,https://wheresthejump.com/jump-scares-in-house-of-1000-corpses-2003/
174,House of Wax,Jaume Collet-Serra,2005,16,4.0,No,5.3,https://wheresthejump.com/jump-scares-in-house-of-wax-2005/
175,House on Haunted Hill,William Malone,1999,14,3.0,No,5.6,https://wheresthejump.com/jump-scares-in-house-on-haunted-hill-1999/
176,Hush,Mike Flanagan,2016,7,2.5,Yes,6.6,https://wheresthejump.com/jump-scares-in-hush-2016/
177,I Am Legend,Francis Lawrence,2007,9,2.5,No,7.2,https://wheresthejump.com/jump-scares-in-i-am-legend-2007/
178,I Am Not a Serial Killer,Billy O’Brien,2016,3,1.0,No,6.2,https://wheresthejump.com/jump-scares-in-i-am-not-a-serial-killer-2016/
179,I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4,0.5,Yes,4.7,https://wheresthejump.com/jump-scares-in-i-am-the-pretty-thing-that-lives-in-the-house-2016/
180,I Know What You Did Last Summer,Jim Gillespie,1997,13,3.5,Yes,5.6,https://wheresthejump.com/jump-scares-in-i-know-what-you-did-last-summer-1997/
181,Identity,James Mangold,2003,11,2.5,No,7.3,https://wheresthejump.com/jump-scares-in-identity-2003/
182,Idle Hands,Rodman Flender,1999,10,3.0,No,6.2,https://wheresthejump.com/jump-scares-in-idle-hands-1999/
183,In The Mouth Of Madness,John Carpenter,1994,10,3.0,No,7.2,https://wheresthejump.com/jump-scares-in-in-the-mouth-of-madness-1994/
184,Incarnate,Brad Peyton,2016,9,2.5,No,5.1,https://wheresthejump.com/jump-scares-in-incarnate-2016/
185,Inland Empire,David Lynch,2006,8,2.5,No,7.0,https://wheresthejump.com/jump-scares-in-inland-empire-2006/
186,Inside,"Alexandre Bustillo, Julien Maury",2007,4,1.0,No,6.9,https://wheresthejump.com/jump-scares-in-inside-2007/
187,Insidious,James Wan,2010,24,5.0,No,6.8,https://wheresthejump.com/jump-scares-in-insidious-2010/
188,Insidious: Chapter 2,James Wan,2013,22,4.0,No,6.6,https://wheresthejump.com/jump-scares-in-insidious-chapter-2-2013/
189,Insidious: Chapter 3,Leigh Whannell,2015,15,4.0,No,6.1,https://wheresthejump.com/jump-scares-in-insidious-chapter-3-2015/
190,Insidious: The Last Key,Adam Robitel,2018,15,4.0,No,5.8,https://wheresthejump.com/jump-scares-in-insidious-the-last-key-2018/
191,Interview With the Vampire,Neil Jordan,1994,6,2.0,No,7.6,https://wheresthejump.com/jump-scares-in-interview-with-the-vampire-1994/
192,Intruders,Adam Schindler,2015,4,1.0,No,5.7,https://wheresthejump.com/jump-scares-in-intruders-2015/
193,Invasion of the Body Snatchers,Philip Kaufman,1978,4,1.0,No,7.4,https://wheresthejump.com/jump-scares-in-invasion-of-the-body-snatchers-1978/
194,It,Andy Muschietti,2017,23,4.0,No,8.2,https://wheresthejump.com/jump-scares-in-it-2017/
195,It Chapter Two,Andy Muschietti,2019,24,4.0,No,7.0,https://wheresthejump.com/jump-scares-in-it-chapter-two-2019/
196,It Comes at Night,Trey Edward Shults,2017,5,1.5,No,6.8,https://wheresthejump.com/jump-scares-in-it-comes-at-night-2017/
197,It Follows,David Robert Mitchell,2014,5,2.0,No,6.9,https://wheresthejump.com/jump-scares-in-it-follows-2014/
198,Jacob's Ladder,Adrian Lyne,1990,4,1.0,No,7.5,https://wheresthejump.com/jump-scares-in-jacobs-ladder-1990/
199,Jaws,Steven Spielberg,1975,4,2.5,No,8.1,https://wheresthejump.com/jump-scares-in-jaws-1975/
200,Jeepers Creepers,Victor Salva,2001,11,3.5,No,6.1,https://wheresthejump.com/jump-scares-in-jeepers-creepers-2001/
201,Jennifer's Body,Karyn Kusama,2009,6,2.0,No,5.1,https://wheresthejump.com/jump-scares-in-jennifers-body-2009/
202,Jessabelle,Kevin Greutert,2014,9,2.0,No,5.4,https://wheresthejump.com/jump-scares-in-jessabelle-2014/
203,Jigsaw,"Michael Spierig, Peter Spierig",2017,7,2.0,No,6.3,https://wheresthejump.com/jump-scares-in-jigsaw-2017/
204,Joy Ride,John Dahl,2001,2,0.5,No,6.6,https://wheresthejump.com/jump-scares-in-joy-ride-2001/
205,Julia's Eyes,Guillem Morales,2010,7,2.0,No,6.6,https://wheresthejump.com/jump-scares-in-julias-eyes-2010/
206,Jurassic Park,Steven Spielberg,1993,9,2.5,No,8.1,https://wheresthejump.com/jump-scares-in-jurassic-park-1993/
207,Jurassic World,Colin Trevorrow,2015,5,2.0,No,7.0,https://wheresthejump.com/jump-scares-in-jurassic-world-2015/
208,Jurassic World: Fallen Kingdom,J.A. Bayona,2018,7,2.0,No,6.5,https://wheresthejump.com/jump-scares-in-jurassic-world-fallen-kingdom-2018/
209,Kill List,Ben Wheatley,2011,1,0.5,No,6.3,https://wheresthejump.com/jump-scares-in-kill-list-2011/
210,Knock Knock,Eli Roth,2015,2,0.5,No,4.9,https://wheresthejump.com/jump-scares-in-knock-knock-2015/
211,Krampus,Michael Dougherty,2015,10,2.0,No,6.2,https://wheresthejump.com/jump-scares-in-krampus-2015/
212,Lake Mungo,Joel Anderson,2008,1,0.5,No,6.1,https://wheresthejump.com/jump-scares-in-lake-mungo-2008/
213,Lake Placid,Steve Miner,1999,11,2.5,No,5.6,https://wheresthejump.com/jump-scares-in-lake-placid-1999/
214,Last Shift,Anthony DiBlasi,2014,17,4.0,No,5.7,https://wheresthejump.com/jump-scares-in-last-shift-2014/
215,Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,3.0,No,5.2,https://wheresthejump.com/jump-scares-in-leatherface-2017/
216,Let Me In,Matt Reeves,2010,3,0.5,No,7.2,https://wheresthejump.com/jump-scares-in-let-me-in-2010/
217,Let The Right One In,Tomas Alfredson,2008,2,0.5,No,8.0,https://wheresthejump.com/jump-scares-in-let-the-right-one-in-2008/
218,Let Us Prey,Brian O’Malley,2014,7,3.0,No,5.6,https://wheresthejump.com/jump-scares-in-let-us-prey-2014/
219,Life,Daniel Espinosa,2017,8,2.0,No,6.8,https://wheresthejump.com/jump-scares-in-life-2017/
220,Lights Out,David F. Sandberg,2016,19,4.5,No,6.4,https://wheresthejump.com/jump-scares-in-lights-out-2016/
221,Little Evil,Eli Craig,2017,7,1.5,Yes,5.8,https://wheresthejump.com/jump-scares-in-little-evil-2017/
222,Ma,Tate Taylor,2019,3,1.0,No,5.7,https://wheresthejump.com/jump-scares-in-ma-2019/
223,Maggie,Henry Hobson,2015,4,0.5,No,5.6,https://wheresthejump.com/jump-scares-in-maggie-2015/
224,Malevolent,Olaf de Fleur Johannesson,2018,8,3.0,Yes,4.8,https://wheresthejump.com/jump-scares-in-malevolent-2018/
225,Malice,Harold Becker,1993,3,1.0,No,6.4,https://wheresthejump.com/jump-scares-in-malice-1993/
226,Mama,Andrés Muschietti,2013,13,3.5,No,6.2,https://wheresthejump.com/jump-scares-in-mama-2013/
227,Mandy,Panos Cosmatos,2018,5,1.5,No,6.9,https://wheresthejump.com/jump-scares-in-mandy-2018/
228,Marrowbone,Sergio G. Sánchez,2017,5,2.5,No,6.6,https://wheresthejump.com/jump-scares-in-marrowbone-2017/
229,Martyrs,Pascal Laugier,2008,15,3.0,No,7.1,https://wheresthejump.com/jump-scares-in-martyrs-2008/
230,May,Lucky McKee,2002,0,0.0,No,6.7,https://wheresthejump.com/jump-scares-in-may-2002/
231,Mayhem,Joe Lynch,2017,2,0.5,No,6.5,https://wheresthejump.com/jump-scares-in-mayhem-2017/
232,Megan Is Missing,Michael Goi,2011,1,0.5,No,4.9,https://wheresthejump.com/jump-scares-in-megan-is-missing-2011/
233,Midsommar,Ari Aster,2019,3,1.0,No,7.4,https://wheresthejump.com/jump-scares-in-midsommar-2019/
234,Mirrors,Alexandre Aja,2008,15,4.0,No,6.2,https://wheresthejump.com/jump-scares-in-mirrors-2008/
235,Misery,Rob Reiner,1990,3,0.5,No,7.8,https://wheresthejump.com/jump-scares-in-misery-1990/
236,Mom and Dad,Brian Taylor,2017,5,1.5,No,5.7,https://wheresthejump.com/jump-scares-in-mom-and-dad-2017/
237,Morgan,Luke Scott,2016,3,0.5,No,5.9,https://wheresthejump.com/jump-scares-in-morgan-2016/
238,Mother!,Darren Aronofsky,2017,7,2.0,No,7.0,https://wheresthejump.com/jump-scares-in-mother-2017/
239,Mulholland Drive,David Lynch,2001,1,1.0,No,8.0,https://wheresthejump.com/jump-scares-in-mulholland-drive-2001/
240,My Bloody Valentine,George Mihalka,1981,11,2.5,No,6.2,https://wheresthejump.com/jump-scares-in-my-bloody-valentine-1981/
241,My Friend Dahmer,Marc Meyers,2017,0,0.0,No,6.5,https://wheresthejump.com/jump-scares-in-my-friend-dahmer-2017/
242,Nerve,"Henry Joost, Ariel Schulman",2016,1,0.5,No,6.7,https://wheresthejump.com/jump-scares-in-nerve-2016/
243,Nocturnal Animals,Tom Ford,2016,1,1.0,No,7.5,https://wheresthejump.com/jump-scares-in-nocturnal-animals-2016/
244,Noroi: The Curse,Kôji Shiraishi,2005,4,1.0,No,7.0,https://wheresthejump.com/jump-scares-in-noroi-the-curse-2005/
245,Oculus,Mike Flanagan,2013,14,3.5,No,6.5,https://wheresthejump.com/jump-scares-in-oculus-2013/
246,Odd Thomas,Stephen Sommers,2013,10,3.0,No,6.9,https://wheresthejump.com/jump-scares-in-odd-thomas-2013/
247,One Hour Photo,Mark Romanek,2002,1,0.5,No,6.8,https://wheresthejump.com/jump-scares-in-one-hour-photo-2002/
248,One Missed Call,Eric Valette,2008,15,3.5,No,3.9,https://wheresthejump.com/jump-scares-in-one-missed-call-2008/
249,Only Lovers Left Alive,Jim Jarmusch,2013,0,0.0,No,7.3,https://wheresthejump.com/jump-scares-in-only-lovers-left-alive-2013/
