,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb
144,Gothika,Mathieu Kassovitz,2003,16,3.5,Yes,5.8
145,Grave Encounters,"Colin Minihan, Stuart Ortiz",2011,12,4.0,No,6.1
146,Green Room,Jeremy Saulnier,2015,1,0.5,Yes,7.2
147,Gremlins,Joe Dante,1984,17,3.5,No,7.2
148,Halloween,John Carpenter,1978,13,2.5,No,7.9
149,Halloween,Rob Zombie,2007,9,3.0,No,6.1
150,Halloween,David Gordon Green,2018,14,3.5,No,7.5
151,Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,No,5.6
152,Halloween II,Rick Rosenthal,1981,8,2.0,No,6.5
153,Halloween II,Rob Zombie,2009,16,3.0,No,4.9
154,Hannibal,Ridley Scott,2001,2,0.5,No,6.8
155,Hannibal Rising,Peter Webber,2007,0,0.0,No,6.2
156,Happy Death Day 2U,Christopher Landon,2019,7,2.0,No,6.5
157,Happy Death Day,Christopher Landon,2017,8,2.5,No,6.7
158,Hellboy,Guillermo del Toro,2004,6,1.5,No,6.8
159,Hellraiser,Clive Barker,1987,5,2.0,No,7.1
160,Here Alone,Rod Blackhurst,2016,2,0.5,Yes,5.6
161,Hereditary,Ari Aster,2018,8,2.0,No,8.1
162,Hidden,"Matt Duffer, Ross Duffer",2015,4,1.5,No,6.4
163,Hide and Seek,John Polson,2005,16,3.5,No,5.9
164,High Tension,Alexandre Aja,2003,8,2.5,No,6.9
165,Holidays,Various Directors,2016,5,2.0,Yes,5.1
166,Hollow Man,Paul Verhoeven,2000,9,2.5,No,5.7
167,Honeymoon,Leigh Janiak,2014,3,0.5,No,5.6
168,Horns,Alexandre Aja,2013,3,0.5,No,6.5
169,Hostel,Eli Roth,2005,2,0.5,No,5.9
170,Hounds of Love,Ben Young,2016,0,0.0,No,6.6
171,Hour of the Wolf,Ingmar Bergman,1968,1,0.5,No,7.7
172,House,Steve Miner,1986,11,3.0,No,6.2
173,House of 1000 Corpses,Rob Zombie,2003,6,2.5,No,6.0
174,House of Wax,Jaume Collet-Serra,2005,16,4.0,No,5.3
175,House on Haunted Hill,William Malone,1999,14,3.0,No,5.6
176,Hush,Mike Flanagan,2016,7,2.5,Yes,6.6
177,I Am Legend,Francis Lawrence,2007,9,2.5,No,7.2
178,I Am Not a Serial Killer,Billy O’Brien,2016,3,1.0,No,6.2
179,I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4,0.5,Yes,4.7
180,I Know What You Did Last Summer,Jim Gillespie,1997,13,3.5,Yes,5.6
181,Identity,James Mangold,2003,11,2.5,No,7.3
